Category,Dept,Number,Title
Computer Graphics and Animation,CNM,190,Advanced Digital Animation
Computer Graphics and Animation,COMPSCI,194,Advanced Digital Animation
Computer Graphics and Animation,COMPSCI,98-3/198-3,UCBUGG: 3D Modeling & Animation
Digital Product Design / Human-Centered Design,COMPSCI,160,User Interface Design and Development
Digital Product Design / Visual Design,COMPSCI,98 / 198,Web Design Decal
Enterprise Design,UGBA,190T,Innovation and Design Thinking in Business
Enterprise Design,ECON,C110,Game Theory in the Social Sciences
Enterprise Design,SOCIOL,121,Innovation and Entrepreneurship: Social and Cultural Context
Enterprise Design,UGBA,196.4,Leadership and Personal Development
Enterprise Design,UGBA,198,Open Innovation Leveraging IBM Watson
Enterprise Design,UGBA,193I,Building Smart Cities Leveraging Open Innovation
Enterprise Design,IEOR,171,Introduction to Design of Human Work Systems and Organizations
Environmental Design,"AMERSTD, LD ARCH",C171,The American Designed Landscape Since 1850
Environmental Design,ARCH,130,Introduction to Architectural Design Theory and Criticism
Environmental Design,ARCH,110AC,The Social and Cultural Basis of Design
Environmental Design,ARCH,170A,An Historical Survey of ARCH and Urbanism: Antiquity to the Middle Ages
Environmental Design,CY PLAN,140,Urban Design: City-Building and Place-Making
Environmental Design,ENV DES,1,People and Environmental Design
Environmental Design,LD ARCH,101,Fundamentals of Landscape Design
Environmental Design,LD ARCH,103,"Energy, Fantasy, and Form"
Environmental Design,ARCH,24,Design Thinking and the Design Professions
Environmental Design,ARCH,170B,An Historical Survey of ARCH and Urbanism: 1400 to Present
Environmental Design,CY PLAN,C240,Theories of Urban Form and Design
Environmental Design,LD ARCH,C250,Theories of Urban Form and Design
Environmental Design,CEE,209,Design for Sustainable Communities
Environmental Design,ENV DES,170,The Social Art of ARCH
Environmental Design / Human-Centered Design,ARCH,212,"Body-Conscious Design: Shoes, Chairs, Rooms, and Beyond"
Environmental Design / Human-Centered Design,LD ARCH,140,Social and Psychological Factors in Open Space Design
Game Design,"ART, FILM","178,178.10",Game Design Methods
Human-Centered Design,COMPSCI,298-48,HCI Design Clinic
Human-Centered Design,IEOR Research,170,Industrial Design and Human Factors
Human-Centered Design,INFO,214,Needs and Usability Assessment
Human-Centered Design,INFO,290,Alternative Visions of Technology
Human-Centered Design,"INFO, CNM",C263,Technologies for Creativity and Learning
Human-Centered Design,UGBA,190T-2A,Understanding Customers: Conducting Customer Interviews
Human-Centered Design,UGBA,190T-2B,Understanding Customers: Extracting Values from Behavioral Data
Human-Centered Design,UGBA,190T-2C,Understanding Customers: Creating Customer Experiences
Human-Centered Design,UGBA,190T-2D,Understanding Customers: Integrated Customer Understanding Project
Human-Centered Design,MEC ENG,98 / 198,{Design.} Decal
Interdisciplinary,"AFRICAM, AMERSTD",C134,INFO Technology and Society
Interdisciplinary,ANTHRO,150,Utopia: Art and Power in Modern Times
Interdisciplinary,ISF,100D,"Introduction to Technology, Society, and Culture"
Interdisciplinary,SOCIOL,166,Society and Technology
Interdisciplinary,SOCIOL,167,Virtual Communities / Social Media
Interdisciplinary,TDPS,60,Stagecraft
Interdisciplinary,TDPS,174B,Scenography: Costume Design for the Theater
Interdisciplinary,COG SCI,165,PSYCH of Creativity
Interdisciplinary,PSYCH,C103,PSYCH of Creativity
Interdisciplinary,"HISTORY, ISF","C182C, C100G STS C100","Science, Technology, and Society"
Interdisciplinary,INFO,290,"Re-imagining the Body: Design, Data, Values and Intersectionality"
Physical Product Design / Human-Centered Design,UGBA,190T,Introduction to New Product Development
Physical Product Design / Human-Centered Design,MEC ENG,110,Introduction to New Product Development
Physical Product Design / Human-Centered Design,DES INV,190 P,Design Competition: Interactive Seating
Physical Product Design / Human-Centered Design / Digital Product Design,INFO,C262,Theory and Practice of Tangible User Interfaces
Physical Product Design / Human-Centered Design / Digital Product Design,CNM,C262,Theory and Practice of Tangible User Interfaces
Physical Product Design / Human-Centered Design / Digital Product Design,CNM,"290, 203","Critical Making: Materials, Protocols, and Culture"
Visual Design,COMPSCI,294.1,Visualization
Visual Design,COMPSCI,98 / 198,Typography Decal
Visual Design,COMPSCI,98 / 198,Innovative Design Photoshop + Illustrator Decal
Visual Design,COMPSCI,98 / 198,Principles of Graphic Design Decal
Visual Design,ART,98 / 198,UCBUGG: Art and Story
Visual Design,ARCH,98 / 198,Intro to Digital Photography
Visual Design / Environmental Design,HISTART,185A,"Art, ARCH, and Design in the U.S."
Visual Design / Environmental Design,HISTART,185A,American ARCH: Domestic Forms
