Category,Dept,Number,Title
Computer Graphics and Animation,Center for New Media / CS,190 / 194,Advanced Digital Animation
Computer Graphics and Animation,COMPSCI,98-3/198-3,UCBUGG: 3D Modeling & Animation
Digital Product Design / Human-Centered Design,COMPSCI,160,User Interface Design and Development
Digital Product Design / Visual Design,COMPSCI,98 / 198,Web Design Decal
Enterprise Design,Business Administration,190T,Innovation and Design Thinking in Business
Enterprise Design,Economics,C110,Game Theory in the Social Sciences
Enterprise Design,Sociology,121,Innovation and Entrepreneurship: Social and Cultural Context
Enterprise Design,Business Administration,196.4,Leadership and Personal Development
Enterprise Design,Business Administration,198,Open Innovation Leveraging IBM Watson
Enterprise Design,Business Administration,193I,Building Smart Cities Leveraging Open Innovation
Enterprise Design,Industrial Engineering and Operations Research,171,Introduction to Design of Human Work Systems and Organizations
Environmental Design,"American Studies, Landscape Architecture",C171,The American Designed Landscape Since 1850
Environmental Design,Architecture,130,Introduction to Architectural Design Theory and Criticism
Environmental Design,Architecture,110AC,The Social and Cultural Basis of Design
Environmental Design,Architecture,170A,An Historical Survey of Architecture and Urbanism: Antiquity to the Middle Ages
Environmental Design,City and Regional Planning,140,Urban Design: City-Building and Place-Making
Environmental Design,Environmental Design,1,People and Environmental Design
Environmental Design,Landscape Architecture,101,Fundamentals of Landscape Design
Environmental Design,Landscape Architecture,103,"Energy, Fantasy, and Form"
Environmental Design,Architecture,24,Design Thinking and the Design Professions
Environmental Design,Architecture,170B,An Historical Survey of Architecture and Urbanism: 1400 to Present
Environmental Design,"City and Regional Planning, Landscape Architecture","C240, C250",Theories of Urban Form and Design
Environmental Design,Civil & Environmental Engineering,209,Design for Sustainable Communities
Environmental Design,Environmental Design,170,The Social Art of Architecture
Environmental Design / Human-Centered Design,Architecture,212,"Body-Conscious Design: Shoes, Chairs, Rooms, and Beyond"
Environmental Design / Human-Centered Design,Landscape Architecture,140,Social and Psychological Factors in Open Space Design
Game Design,"Art Practice, Film","178,178.10",Game Design Methods
Human-Centered Design,COMPSCI,298-48,HCI Design Clinic
Human-Centered Design,Industrial Engineering and Operations Research,170,Industrial Design and Human Factors
Human-Centered Design,Information,214,Needs and Usability Assessment
Human-Centered Design,Information,290,Alternative Visions of Technology
Human-Centered Design,"Information, New Media",C263,Technologies for Creativity and Learning
Human-Centered Design,UGBA,190T-2A,Understanding Customers: Conducting Customer Interviews
Human-Centered Design,UGBA,190T-2B,Understanding Customers: Extracting Values from Behavioral Data
Human-Centered Design,UGBA,190T-2C,Understanding Customers: Creating Customer Experiences
Human-Centered Design,UGBA,190T-2D,Understanding Customers: Integrated Customer Understanding Project
Human-Centered Design,Mechanical Engineering,98 / 198,{Design.} Decal
Interdisciplinary,"African American Studies, American Studies",C134,Information Technology and Society
Interdisciplinary,Anthropology,150,Utopia: Art and Power in Modern Times
Interdisciplinary,Interdisciplinary Studies,100D,"Introduction to Technology, Society, and Culture"
Interdisciplinary,Sociology,166,Society and Technology
Interdisciplinary,Sociology,167,Virtual Communities / Social Media
Interdisciplinary,"Theater, Dance, and Performance Studies",60,Stagecraft
Interdisciplinary,"Theater, Dance, and Performance Studies",174B,Scenography: Costume Design for the Theater
Interdisciplinary,"Cognitive Science, Psychology","165, C103",Psychology of Creativity
Interdisciplinary,"History, Interdisciplinary Studies","C182C, C100G STS C100","Science, Technology, and Society"
Interdisciplinary,Information,290,"Re-imagining the Body: Design, Data, Values and Intersectionality"
Physical Product Design / Human-Centered Design,"Business Administration, Mechanical Engineering","190T, 110",Introduction to New Product Development
Physical Product Design / Human-Centered Design,Design Innovation,190 P,Design Competition: Interactive Seating
Physical Product Design / Human-Centered Design / Digital Product Design,"Information, New Media",C262,Theory and Practice of Tangible User Interfaces
Physical Product Design / Human-Centered Design / Digital Product Design,New Media,"290, 203","Critical Making: Materials, Protocols, and Culture"
Visual Design,COMPSCI,294.1,Visualization
Visual Design,COMPSCI,98 / 198,Typography Decal
Visual Design,COMPSCI,98 / 198,Innovative Design Photoshop + Illustrator Decal
Visual Design,COMPSCI,98 / 198,Principles of Graphic Design Decal
Visual Design,Art,98 / 198,UCBUGG: Art and Story
Visual Design,Architecture,98 / 198,Intro to Digital Photography
Visual Design / Environmental Design,History of Art,185A,"Art, Architecture, and Design in the U.S."
Visual Design / Environmental Design,History of Art,185A,American Architecture: Domestic Forms
